opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
DEVXF86R,Donn Cantrell,GTX Plus Basic,Acme Corporation,Lost,7/26/17,9/29/17,0
0WJLKMUA,Violet Mclelland,GTXPro,Acme Corporation,Lost,7/28/17,7/29/17,0
SP9W5IND,Boris Faz,MG Special,Acme Corporation,Engaging,7/30/17,00/00/0000,0
EMH2I8XE,Lajuana Vencill,MG Advanced,Acme Corporation,Engaging,7/31/17,00/00/0000,0
LDQITW5C,Lajuana Vencill,MG Advanced,Acme Corporation,Engaging,8/3/17,00/00/0000,0
R2DID6L7,Violet Mclelland,MG Special,Acme Corporation,Won,8/7/17,11/4/17,52
LFMMI05H,Cassey Cress,GTX Plus Pro,Acme Corporation,Won,8/14/17,12/21/17,5881
2TI1UFAA,Rosie Papadopoulos,MG Special,Acme Corporation,Lost,8/15/17,11/17/17,0
RMUIMYJU,Boris Faz,GTX Plus Pro,Acme Corporation,Lost,8/18/17,8/26/17,0
M4MOGAS4,Violet Mclelland,MG Advanced,Acme Corporation,Won,8/24/17,8/25/17,3146
S9CGS0IX,Corliss Cosme,GTX Plus Pro,Acme Corporation,Lost,8/28/17,11/7/17,0
J3K9EXW0,Reed Clapper,GTX Plus Pro,Acme Corporation,Won,8/29/17,12/25/17,5790
XO8TRDKK,Garret Kinder,MG Special,Acme Corporation,Won,9/2/17,9/17/17,57
9CK2HTJP,Garret Kinder,GTX Plus Basic,Acme Corporation,Lost,9/6/17,12/4/17,0
FBYWCLLS,Reed Clapper,GTX Basic,Acme Corporation,Lost,9/14/17,9/28/17,0
JU2PPGP6,Reed Clapper,GTX Basic,Acme Corporation,Lost,9/16/17,9/26/17,0
T58F1T8V,Violet Mclelland,MG Special,Acme Corporation,Lost,9/30/17,10/8/17,0
MG1YUTUE,Markita Hansen,MG Special,Acme Corporation,Engaging,10/1/17,00/00/0000,0
QC9B7V93,Boris Faz,MG Advanced,Acme Corporation,Lost,10/4/17,10/11/17,0
3JMB4J8E,Garret Kinder,GTX Plus Pro,Acme Corporation,Won,10/5/17,10/7/17,5331
7FVUE0GY,Cassey Cress,GTX Plus Basic,Acme Corporation,Won,10/19/17,10/21/17,1096
35GT4NM9,Donn Cantrell,GTX Basic,Acme Corporation,Won,10/25/17,11/5/17,586
0N11U6L3,Daniell Hammack,GTX Plus Basic,Acme Corporation,Engaging,10/30/17,00/00/0000,0
QSCVBJNJ,Wilburn Farren,GTXPro,Acme Corporation,Lost,11/9/17,11/23/17,0
C3KQJVDU,Corliss Cosme,GTX Basic,Acme Corporation,Won,11/10/17,11/18/17,577
7OIR36P2,Donn Cantrell,GTXPro,Acme Corporation,Won,11/15/17,12/27/17,4980
IJ2CLOLZ,Daniell Hammack,GTXPro,Acme Corporation,Won,11/24/17,12/9/17,4445
VAM56BG4,Darcel Schlecht,GTX Plus Basic,Acme Corporation,Prospecting,00/00/0000,00/00/0000,0
MI3MV7PU,Marty Freudenburg,MG Advanced,Acme Corporation,Prospecting,00/00/0000,00/00/0000,0
J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,11/25/16,3/1/17,5964
S5IXY4Z9,Corliss Cosme,GTXPro,Betasoloin,Won,11/25/16,3/6/17,4570
8BQMFR86,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,1/9/17,3/30/17,4974
YMGWLEHY,Garret Kinder,GTXPro,Betasoloin,Won,1/9/17,3/21/17,3822
OV5X3O5I,Cassey Cress,GTX Basic,Betasoloin,Won,2/5/17,3/27/17,493
9GENDMWA,Corliss Cosme,GTX Basic,Betasoloin,Won,2/9/17,5/25/17,603
U64RT0UF,Donn Cantrell,GTX Plus Basic,Betasoloin,Won,2/14/17,5/29/17,987
AMNKCM1H,Elease Gluck,MG Special,Betasoloin,Engaging,2/17/17,00/00/0000,0
K4VP5HK4,Donn Cantrell,MG Advanced,Betasoloin,Won,2/18/17,5/8/17,3602
2L5ZWLI7,Cassey Cress,GTX Plus Basic,Betasoloin,Lost,3/1/17,5/25/17,0
HRWHRCH8,Violet Mclelland,MG Special,Betasoloin,Won,3/5/17,3/14/17,48
HALGOQ5D,Donn Cantrell,GTXPro,Betasoloin,Won,3/14/17,5/30/17,4688
3S31RHE5,Cassey Cress,GTXPro,Betasoloin,Won,3/15/17,5/18/17,4497
K4ETVW4H,Boris Faz,MG Special,Betasoloin,Won,3/16/17,5/12/17,53
N8F2PFQP,Boris Faz,GTX Plus Basic,Betasoloin,Won,3/21/17,4/3/17,992
UD9V38LV,Donn Cantrell,GTXPro,Betasoloin,Lost,3/23/17,5/19/17,0
H6NJKV4F,Boris Faz,GTX Plus Pro,Betasoloin,Won,3/25/17,5/20/17,5479
CJOU1RYX,Daniell Hammack,GTX Plus Pro,Betasoloin,Won,3/27/17,6/9/17,5182
XLKL4EI0,Wilburn Farren,GTX Basic,Betasoloin,Lost,3/29/17,4/10/17,0
U1BDEL90,Corliss Cosme,MG Advanced,Betasoloin,Won,4/3/17,4/10/17,2794
XUQ7RS1Q,Daniell Hammack,GTXPro,Betasoloin,Lost,4/9/17,5/30/17,0
TYWS7KJR,Reed Clapper,GTX Basic,Betasoloin,Won,4/9/17,4/16/17,575
GAM8C5ET,Cassey Cress,GTX Plus Pro,Betasoloin,Lost,4/12/17,4/17/17,0
XOVYPE58,Rosie Papadopoulos,GTXPro,Betasoloin,Engaging,4/19/17,00/00/0000,0
JOLRMB6X,Rosie Papadopoulos,GTX Plus Basic,Betasoloin,Won,4/20/17,6/24/17,1036
V4HYSJS2,Reed Clapper,MG Advanced,Betasoloin,Won,4/21/17,6/4/17,2887
YDBPPU6J,Donn Cantrell,GTXPro,Betasoloin,Won,4/23/17,6/3/17,5100
R9U1QNHQ,Hayden Neloms,MG Special,Betasoloin,Engaging,4/29/17,00/00/0000,0
AETY0W6G,Reed Clapper,GTXPro,Betasoloin,Won,5/3/17,5/8/17,4859
0P8NFYML,Cassey Cress,MG Special,Betasoloin,Lost,5/6/17,5/24/17,0
0XHTFQE8,Cassey Cress,GTX Plus Basic,Betasoloin,Won,5/19/17,8/19/17,1131
W1J3L0EU,Daniell Hammack,GTXPro,Betasoloin,Won,6/3/17,6/6/17,4492
6NZH6X7G,Reed Clapper,GTX Plus Pro,Betasoloin,Lost,6/10/17,6/21/17,0
YT34YUZN,Corliss Cosme,GTXPro,Betasoloin,Engaging,6/12/17,00/00/0000,0
LMJINVRQ,Daniell Hammack,GTX Plus Basic,Betasoloin,Lost,6/13/17,9/7/17,0
TTVQT1YD,Donn Cantrell,MG Advanced,Betasoloin,Lost,6/16/17,8/31/17,0
BJOY31DL,Violet Mclelland,MG Special,Betasoloin,Engaging,6/23/17,00/00/0000,0
74KGIZW4,Kary Hendrixson,GTXPro,Betasoloin,Engaging,6/24/17,00/00/0000,0
2Y9R7T2W,Cassey Cress,MG Advanced,Betasoloin,Won,6/30/17,9/26/17,3280
CJZLM3WA,Garret Kinder,MG Special,Betasoloin,Lost,7/1/17,9/16/17,0
IM5AGXLX,Wilburn Farren,GTX Plus Pro,Betasoloin,Lost,7/1/17,8/6/17,0
HIV4W2E0,Kary Hendrixson,GTX Plus Basic,Betasoloin,Engaging,7/2/17,00/00/0000,0
VLPSQ076,Wilburn Farren,MG Advanced,Betasoloin,Lost,7/3/17,7/12/17,0
TS2JEK3E,Donn Cantrell,GTX Basic,Betasoloin,Won,7/4/17,9/23/17,531
KDDN1E4O,Cassey Cress,GTX Plus Basic,Betasoloin,Won,7/5/17,7/14/17,1109
611J0LEK,Boris Faz,GTX Basic,Betasoloin,Won,7/7/17,7/9/17,574
I9U5PCM3,Reed Clapper,GTXPro,Betasoloin,Won,7/17/17,11/17/17,5452
T9QD8U1Y,Darcel Schlecht,MG Special,Betasoloin,Engaging,7/21/17,00/00/0000,0
YCQABCDI,Reed Clapper,MG Advanced,Betasoloin,Won,7/22/17,11/3/17,3252
49SUORYW,Niesha Huffines,GTX Plus Basic,Betasoloin,Engaging,8/4/17,00/00/0000,0
NY7Z4I06,Kary Hendrixson,GTX Plus Pro,Betasoloin,Engaging,8/5/17,00/00/0000,0
DHVOS14H,Corliss Cosme,MG Advanced,Betasoloin,Lost,8/18/17,8/31/17,0
K0IV66AV,Reed Clapper,GTX Basic,Betasoloin,Won,8/26/17,11/7/17,539
A2PIOJWL,Daniell Hammack,GTXPro,Betasoloin,Lost,9/8/17,9/19/17,0
X7VUR49L,Donn Cantrell,GTXPro,Betasoloin,Won,9/17/17,9/26/17,5763
7AH7F190,Reed Clapper,GTX Basic,Betasoloin,Lost,9/17/17,11/27/17,0
KODTODAA,Reed Clapper,GTX Plus Pro,Betasoloin,Lost,9/17/17,11/12/17,0
0ZXS3AIR,Boris Faz,GTX Basic,Betasoloin,Won,9/20/17,12/26/17,563
F34QYKQJ,Donn Cantrell,GTXPro,Betasoloin,Lost,9/21/17,11/30/17,0
EJVD09HQ,James Ascencio,MG Special,Betasoloin,Engaging,9/25/17,00/00/0000,0
1LY8CAXD,Rosalina Dieter,GTK 500,Betasoloin,Engaging,9/27/17,00/00/0000,0
V7C6RT5S,Cassey Cress,MG Advanced,Betasoloin,Won,10/8/17,10/17/17,3472
76V79SHZ,Violet Mclelland,GTX Plus Basic,Betasoloin,Lost,10/17/17,10/18/17,0
UBU4E17W,Cassey Cress,GTX Basic,Betasoloin,Lost,10/26/17,11/6/17,0
23ZL97PN,Donn Cantrell,GTX Plus Basic,Betasoloin,Lost,12/2/17,12/12/17,0
MSN4ZNU6,Violet Mclelland,MG Advanced,Betasoloin,Won,12/22/17,12/28/17,3673
WTD6O2OR,Anna Snelling,MG Advanced,Betasoloin,Prospecting,00/00/0000,00/00/0000,0
I43F0Z77,Marty Freudenburg,GTX Plus Basic,Betasoloin,Prospecting,00/00/0000,00/00/0000,0
SKY95DVG,Anna Snelling,MG Special,Betatech,Lost,12/9/16,3/22/17,0
EJMX0EIJ,Darcel Schlecht,GTX Plus Pro,Betatech,Won,12/13/16,3/20/17,4278
1ROC43JK,Versie Hillebrand,MG Special,Betatech,Won,12/16/16,3/8/17,50
RP5PS9A5,Lajuana Vencill,MG Special,Betatech,Won,12/25/16,3/10/17,56
VT5Y73GX,Anna Snelling,MG Special,Betatech,Won,1/9/17,3/15/17,56
IZD69C5Q,Marty Freudenburg,MG Special,Betatech,Won,1/21/17,6/6/17,41
HWDRCUYU,Moses Frase,GTX Plus Pro,Betatech,Won,1/30/17,5/14/17,5755
L8D22SSW,Darcel Schlecht,MG Advanced,Betatech,Won,2/1/17,6/17/17,3822
AF8NG5JC,Cassey Cress,MG Special,Betatech,Engaging,2/8/17,00/00/0000,0
10R46CSK,Lajuana Vencill,MG Advanced,Betatech,Won,2/18/17,5/7/17,2904
HTD2ME9C,Anna Snelling,GTX Plus Pro,Betatech,Won,2/19/17,6/12/17,5370
52CROFH2,Darcel Schlecht,GTX Basic,Betatech,Lost,2/22/17,3/5/17,0
56XQOTXV,Versie Hillebrand,GTX Plus Pro,Betatech,Won,2/25/17,5/17/17,4494
8DWOWB6Y,Anna Snelling,GTX Basic,Betatech,Lost,2/26/17,3/16/17,0
OV60VIBB,Niesha Huffines,GTX Basic,Betatech,Lost,2/27/17,5/8/17,0
9924I5ZF,Cecily Lampkin,GTX Plus Pro,Betatech,Won,3/2/17,5/25/17,5728
KEF5O2Q6,Moses Frase,GTX Basic,Betatech,Lost,3/8/17,6/26/17,0
RSFYKC1F,Moses Frase,GTX Basic,Betatech,Won,3/16/17,6/25/17,619
8LPO6YCO,Marty Freudenburg,MG Advanced,Betatech,Won,3/18/17,5/7/17,3542
5PA21ZHE,Darcel Schlecht,GTXPro,Betatech,Won,4/1/17,4/10/17,4685
JXS3KFKM,Gladys Colclough,GTX Basic,Betatech,Won,4/3/17,4/5/17,532
SBLP2LJB,Niesha Huffines,GTX Plus Basic,Betatech,Won,4/4/17,6/11/17,1067
FB1AO8SL,Anna Snelling,MG Special,Betatech,Won,4/5/17,4/14/17,57
93X2W24Q,Anna Snelling,MG Advanced,Betatech,Won,4/9/17,6/2/17,3666
XYZ39YT2,Cecily Lampkin,MG Special,Betatech,Lost,4/11/17,4/19/17,0
37LTMWB0,Darcel Schlecht,GTX Basic,Betatech,Lost,4/13/17,4/20/17,0
YZ4AIQQR,Gladys Colclough,MG Advanced,Betatech,Lost,4/15/17,4/16/17,0
Q22714T0,Anna Snelling,MG Special,Betatech,Lost,4/18/17,4/24/17,0
FCGE8U5M,Anna Snelling,MG Special,Betatech,Won,4/18/17,4/25/17,51
FVGRGJU8,Rosie Papadopoulos,MG Advanced,Betatech,Engaging,4/21/17,00/00/0000,0
7EBT21IA,Gladys Colclough,GTX Basic,Betatech,Won,4/23/17,4/24/17,560
P05J08B4,Jonathan Berthelot,GTXPro,Betatech,Lost,5/4/17,5/20/17,0
LZLXBQ0I,Lajuana Vencill,GTX Plus Basic,Betatech,Lost,5/4/17,8/20/17,0
SUYF0EN7,Versie Hillebrand,GTX Basic,Betatech,Won,5/4/17,8/9/17,590
N23C5EKK,Lajuana Vencill,GTX Basic,Betatech,Lost,5/8/17,5/10/17,0
UOUG01WG,Versie Hillebrand,MG Special,Betatech,Won,5/14/17,5/16/17,68
O0NCMYX9,Cecily Lampkin,GTX Basic,Betatech,Won,5/25/17,6/5/17,460
UZI6MKVR,Anna Snelling,MG Special,Betatech,Lost,5/27/17,8/24/17,0
QYWZZ16B,Darcel Schlecht,GTXPro,Betatech,Won,6/11/17,6/24/17,4410
WJ81WITC,Darcel Schlecht,GTX Plus Pro,Betatech,Lost,6/13/17,8/16/17,0
YQK2K6U5,Darcel Schlecht,GTX Basic,Betatech,Won,6/17/17,8/22/17,576
0MNAGD91,Moses Frase,MG Advanced,Betatech,Won,6/24/17,7/5/17,3355
JGG9CO2Y,Marty Freudenburg,GTX Plus Pro,Betatech,Lost,6/25/17,8/14/17,0
X2ZONP2D,Moses Frase,GTX Plus Pro,Betatech,Lost,6/28/17,8/24/17,0
29ZDUK49,Anna Snelling,GTX Plus Basic,Betatech,Won,6/29/17,7/10/17,1047
8QOUXQEV,Anna Snelling,GTX Basic,Betatech,Won,6/30/17,9/27/17,560
FN50OJHN,Niesha Huffines,GTX Plus Basic,Betatech,Won,7/7/17,7/11/17,1088
J03H7OQF,Darcel Schlecht,MG Special,Betatech,Won,7/8/17,7/16/17,54
OT26ZUZ7,Daniell Hammack,GTXPro,Betatech,Engaging,7/9/17,00/00/0000,0
66KFPHBT,Niesha Huffines,GTX Plus Pro,Betatech,Won,7/9/17,9/24/17,5944
3S73ZUQH,Darcel Schlecht,MG Advanced,Betatech,Lost,7/12/17,7/21/17,0
AUZM3MLU,Darcel Schlecht,GTX Plus Basic,Betatech,Won,7/16/17,9/18/17,1071
GS2CLR52,Darcel Schlecht,GTXPro,Betatech,Won,7/16/17,7/17/17,4488
S46ZLF3G,Anna Snelling,GTX Basic,Betatech,Lost,7/17/17,7/26/17,0
BP45IP77,Anna Snelling,MG Special,Betatech,Won,7/19/17,7/25/17,53
EBVL81O5,Darcel Schlecht,GTXPro,Betatech,Lost,7/19/17,7/22/17,0
6KOHYTT4,Versie Hillebrand,MG Advanced,Betatech,Won,7/21/17,7/30/17,3167
F56MSU4B,Lajuana Vencill,MG Advanced,Betatech,Lost,7/26/17,7/30/17,0
TIPXNDS2,Gladys Colclough,MG Special,Betatech,Engaging,8/3/17,00/00/0000,0
XNOQAL9G,Anna Snelling,MG Special,Betatech,Lost,8/6/17,11/29/17,0
QAJPUEN2,Darcel Schlecht,GTXPro,Betatech,Lost,8/7/17,8/18/17,0
I6M40320,Niesha Huffines,GTX Plus Basic,Betatech,Engaging,8/7/17,00/00/0000,0
99NDUEKO,Cecily Lampkin,GTX Plus Pro,Betatech,Lost,8/14/17,11/9/17,0
3HTSMIGI,Anna Snelling,GTX Plus Basic,Betatech,Lost,8/15/17,9/27/17,0
ENGMZL6Y,Darcel Schlecht,GTXPro,Betatech,Won,8/18/17,9/1/17,4817
EMGB7S71,Cecily Lampkin,GTX Plus Basic,Betatech,Won,8/23/17,11/13/17,1074
AEZIAPTN,Darcel Schlecht,GTXPro,Betatech,Won,8/23/17,11/14/17,4833
S2WRH3QA,Versie Hillebrand,MG Advanced,Betatech,Won,8/31/17,9/30/17,4011
TXZTEEUJ,Darcel Schlecht,GTXPro,Betatech,Lost,9/2/17,12/13/17,0
8F3RA844,Jonathan Berthelot,GTXPro,Betatech,Lost,9/4/17,11/19/17,0
WGYE40NI,Versie Hillebrand,MG Special,Betatech,Won,9/4/17,12/26/17,41
5LPKNEEI,Darcel Schlecht,GTXPro,Betatech,Lost,9/5/17,9/13/17,0
073UCD9F,Gladys Colclough,MG Special,Betatech,Lost,9/5/17,12/10/17,0
9SU2A73Y,Jonathan Berthelot,GTX Basic,Betatech,Won,9/7/17,9/18/17,585
1MZ8GDLF,Marty Freudenburg,MG Special,Betatech,Won,9/12/17,9/21/17,72
T6BHNN1O,Cecily Lampkin,MG Special,Betatech,Lost,9/17/17,11/13/17,0
C563WHG1,Lajuana Vencill,GTX Plus Pro,Betatech,Won,9/30/17,10/11/17,6156
SCYV3JPO,Lajuana Vencill,GTX Basic,Betatech,Won,10/2/17,10/12/17,536
E4O6XJ9E,Darcel Schlecht,GTXPro,Betatech,Lost,10/4/17,10/12/17,0
J54XWY0O,Versie Hillebrand,GTX Basic,Betatech,Lost,10/5/17,10/16/17,0
W2QJUK1Y,Moses Frase,GTX Basic,Betatech,Won,10/16/17,10/28/17,562
MUODVNBC,Versie Hillebrand,MG Special,Betatech,Won,10/17/17,10/27/17,54
OQQWTFSZ,Darcel Schlecht,GTXPro,Betatech,Won,10/19/17,10/27/17,4688
MV7NPCI9,Jonathan Berthelot,GTX Basic,Betatech,Won,10/24/17,10/29/17,519
TSN98FPQ,Jonathan Berthelot,GTX Plus Basic,Betatech,Won,10/24/17,10/25/17,1243
U2JI00ER,Marty Freudenburg,MG Advanced,Betatech,Won,10/26/17,10/27/17,3353
8JR8LXEU,Gladys Colclough,MG Special,Betatech,Won,11/1/17,11/5/17,53
XZUEXEUH,Anna Snelling,GTX Basic,Betatech,Won,11/5/17,11/9/17,480
76ZQP7QY,Darcel Schlecht,GTXPro,Betatech,Lost,11/6/17,11/7/17,0
C8BIQFEN,Darcel Schlecht,GTX Plus Pro,Betatech,Lost,11/11/17,11/14/17,0
RB8GDYFY,Gladys Colclough,MG Special,Betatech,Won,12/27/17,12/29/17,67
DS5HZHDA,Cecily Lampkin,MG Special,Betatech,Prospecting,00/00/0000,00/00/0000,0
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,11/4/16,3/10/17,53
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,11/10/16,3/12/17,61
44H0FJMH,Anna Snelling,GTX Plus Pro,Bioholding,Lost,12/22/16,3/27/17,0
MCE5DKD1,Markita Hansen,MG Special,Bioholding,Engaging,1/10/17,00/00/0000,0
81MXE1H7,Markita Hansen,MG Advanced,Bioholding,Engaging,2/14/17,00/00/0000,0
KATNS4R4,Lajuana Vencill,GTX Basic,Bioholding,Lost,2/22/17,5/22/17,0
M2TZSYTN,Moses Frase,GTX Basic,Bioholding,Won,2/23/17,6/16/17,516
38KKSE72,Lajuana Vencill,GTX Basic,Bioholding,Won,2/27/17,6/1/17,530
AJJ7VJWA,Niesha Huffines,GTXPro,Bioholding,Lost,3/4/17,5/2/17,0
ITIQJARB,Gladys Colclough,GTX Plus Pro,Bioholding,Won,3/7/17,3/11/17,4887
ENOMNCOJ,Cecily Lampkin,MG Special,Bioholding,Won,3/8/17,6/3/17,59
6LI7FXQT,Darcel Schlecht,MG Special,Bioholding,Lost,3/9/17,5/28/17,0
87XTACKH,Jonathan Berthelot,GTX Plus Basic,Bioholding,Won,3/18/17,5/26/17,1137
DV9ZB9KL,Versie Hillebrand,GTX Basic,Bioholding,Lost,3/22/17,3/27/17,0
8RZ1A49O,Cecily Lampkin,MG Special,Bioholding,Won,3/24/17,3/31/17,54
5G645WYV,Moses Frase,GTX Plus Pro,Bioholding,Won,3/28/17,4/7/17,5447
70GGNRPB,Cecily Lampkin,GTX Basic,Bioholding,Lost,3/30/17,4/11/17,0
HMKFBTYR,Darcel Schlecht,GTX Basic,Bioholding,Won,3/30/17,6/20/17,600
T4NRIY5R,Darcel Schlecht,GTX Plus Pro,Bioholding,Won,4/1/17,4/8/17,5798
A89TBOY5,Moses Frase,MG Advanced,Bioholding,Lost,4/1/17,4/6/17,0
5PJJCTJ9,Darcel Schlecht,MG Advanced,Bioholding,Won,4/2/17,4/11/17,3263
SLN6HHLD,Gladys Colclough,MG Special,Bioholding,Lost,4/6/17,4/16/17,0
8OHCCD42,Anna Snelling,GTX Plus Basic,Bioholding,Lost,4/13/17,4/15/17,0
JQ8V4I1K,Versie Hillebrand,MG Special,Bioholding,Won,4/13/17,4/22/17,56
6VET70WX,Lajuana Vencill,GTX Basic,Bioholding,Won,4/23/17,6/15/17,518
FZ1TTF0X,Moses Frase,GTX Basic,Bioholding,Lost,4/29/17,5/31/17,0
4Z7B0OQB,Anna Snelling,MG Advanced,Bioholding,Lost,5/5/17,8/15/17,0
5QR02PQI,Marty Freudenburg,GTX Plus Basic,Bioholding,Lost,5/5/17,5/8/17,0
GACP1E2I,Darcel Schlecht,GTXPro,Bioholding,Won,5/11/17,8/11/17,5037
LTVGILHP,Kary Hendrixson,GTX Basic,Bioholding,Engaging,5/11/17,00/00/0000,0
LGK00C12,Lajuana Vencill,GTX Basic,Bioholding,Lost,5/16/17,8/24/17,0
L71FBIF7,Marty Freudenburg,MG Special,Bioholding,Lost,5/18/17,9/10/17,0
OATOYNX2,Anna Snelling,MG Special,Bioholding,Won,5/19/17,6/27/17,63
IQ5ASHI1,Anna Snelling,GTX Basic,Bioholding,Won,5/21/17,8/11/17,475
ZG1DFNPW,Moses Frase,GTX Basic,Bioholding,Won,5/21/17,9/15/17,547
SS9FXCS2,Niesha Huffines,MG Special,Bioholding,Won,5/21/17,8/1/17,57
C2RL3DUQ,Moses Frase,MG Advanced,Bioholding,Lost,5/26/17,8/9/17,0
SXV6VZVC,Darcel Schlecht,GTX Plus Basic,Bioholding,Won,5/28/17,8/25/17,1118
I3RW4OMF,Cecily Lampkin,GTX Basic,Bioholding,Won,5/29/17,8/29/17,611
IWQP4M72,Jonathan Berthelot,GTX Plus Basic,Bioholding,Lost,5/29/17,8/29/17,0
VUYQCXTY,Moses Frase,GTX Plus Basic,Bioholding,Won,6/9/17,8/4/17,1017
ULES5Z21,Versie Hillebrand,MG Special,Bioholding,Won,6/13/17,6/15/17,59
ZGSQMEQ9,Niesha Huffines,GTX Plus Basic,Bioholding,Won,6/16/17,9/17/17,1063
81LMZHD1,Moses Frase,GTX Plus Pro,Bioholding,Won,6/17/17,8/16/17,5018
L58MN75X,Jonathan Berthelot,GTXPro,Bioholding,Won,6/18/17,9/15/17,5220
Q5R1PYJS,Darcel Schlecht,GTXPro,Bioholding,Lost,6/20/17,9/11/17,0
FGES2PQ2,Lajuana Vencill,MG Advanced,Bioholding,Lost,6/25/17,7/4/17,0
O6DSGX6P,Lajuana Vencill,GTX Basic,Bioholding,Lost,6/26/17,8/10/17,0
313EIVW4,Anna Snelling,GTX Plus Basic,Bioholding,Lost,7/2/17,7/10/17,0
D7JDQB12,Lajuana Vencill,MG Advanced,Bioholding,Won,7/3/17,9/23/17,2857
OYUUU6B9,Darcel Schlecht,GTX Basic,Bioholding,Lost,7/11/17,11/9/17,0
G5GPTVMU,Anna Snelling,GTX Plus Basic,Bioholding,Lost,7/12/17,8/31/17,0
T51ULXCZ,Darcel Schlecht,GTXPro,Bioholding,Lost,7/12/17,7/23/17,0
YYRYSVOO,Darcel Schlecht,GTXPro,Bioholding,Won,7/13/17,7/16/17,5382
